,EVSE ID,energia_totale_kwh,ricavi_totali,costo_stimato,indirizzo_stazione
263,IT*F2X*EF2XITD5101*2,34036.118,23144.37,8509.0295,A4 Torino - Trieste
264,IT*F2X*EF2XITD5102*1,61747.266,41988.1,15436.8165,A4 Torino - Trieste
265,IT*F2X*EF2XITD5102*2,42220.468,28709.86,10555.117,A4 Torino - Trieste
266,IT*F2X*EF2XITD5151*1,3037.482,1670.6,759.3705,A4 Torino - Trieste
267,IT*F2X*EF2XITD5151*2,1058.012,579.09,264.503,A4 Torino - Trieste
268,IT*F2X*EF2XITD5151*3,991.215,445.96999999999997,247.80375,A4 Torino - Trieste
269,IT*F2X*EF2XITG7001*1,12514.882,8509.02,3128.7205,A7 - Autostrada dei Giovi
270,IT*F2X*EF2XITG7001*2,7093.078,4821.69,1773.2695,A7 - Autostrada dei Giovi
271,IT*F2X*EF2XITG7002*1,9097.44,6186.25,2274.36,A7 - Autostrada dei Giovi
272,IT*F2X*EF2XITG7002*2,13194.005,8971.91,3298.50125,A7 - Autostrada dei Giovi
273,IT*F2X*EF2XITG7051*1,510.349,280.7,127.58725,A7 - Autostrada dei Giovi
274,IT*F2X*EF2XITG7051*2,170.30700000000002,93.67,42.576750000000004,A7 - Autostrada dei Giovi
275,IT*F2X*EF2XITG7051*3,319.133,143.6,79.78325,A7 - Autostrada dei Giovi
276,IT*F2X*EF2XITG7101*1,1629.009,1107.72,407.25225,A7 - Autostrada dei Giovi
277,IT*F2X*EF2XITG7101*2,505.452,343.72,126.363,A7 - Autostrada dei Giovi
278,IT*F2X*EF2XITG7102*1,3563.152,2366.48,890.788,A7 - Autostrada dei Giovi
279,IT*F2X*EF2XITG7102*2,2478.569,1685.45,619.64225,A7 - Autostrada dei Giovi
280,IT*F2X*EF2XITH3001*1,31273.566,21266.09,7818.3915,Autostrada dei laghi
281,IT*F2X*EF2XITH3001*2,39370.15,26771.76,9842.5375,Autostrada dei laghi
282,IT*F2X*EF2XITH3002*1,51506.208,35024.03,12876.552,Autostrada dei laghi
283,IT*F2X*EF2XITH3002*2,24494.316,16656.21,6123.579,Autostrada dei laghi
284,IT*F2X*EF2XITH3051*1,2281.0099999999998,1254.55,570.2524999999999,Autostrada dei laghi
285,IT*F2X*EF2XITH3051*2,362.024,199.12,90.506,Autostrada dei laghi
286,IT*F2X*EF2XITH3051*3,573.188,257.89,143.297,Autostrada dei laghi
287,IT*F2X*EF2XITH3101*1,15564.948,10584.13,3891.237,Autostrada dei laghi
288,IT*F2X*EF2XITH3101*2,17296.616,11761.71,4324.154,Autostrada dei laghi
289,IT*F2X*EF2XITH3102*1,36776.226,25007.95,9194.0565,Autostrada dei laghi
290,IT*F2X*EF2XITH3102*2,13377.331,9096.21,3344.33275,Autostrada dei laghi
291,IT*F2X*EF2XITH3151*1,1715.158,943.34,428.7895,Autostrada dei laghi
