Tratta,Strada,Km,Comune,Pr,Consistenza gg,Leggeri,Pesanti
412014,SS4DIR,3.005,Fiano Romano,RM,360.0,21186,1141
16,SS1,346.834,Vecchiano,PI,360.0,21156,505
14,SS1,311.534,Livorno,LI,360.0,21149,368
15013,SS268,21.887,Terzigno,,360.0,21104,1445
16011,SS7TER,10.556,Taranto,TA,348.0,21079,510
513135,SS714,18.687,Francavilla al Mare,CH,360.0,20995,558
1333,SS309,86.469,Chioggia,VE,350.0,20960,2717
50049,SS72,7.296,Coriano,RN,345.0,20782,679
2210,SS33,56.681,Castelletto sopra Ticino,NO,358.0,20746,329
17,SS1,393.289,Sarzana,SP,286.0,20731,347
739,SS106RADD,17.679,Corigliano-Rossano,CS,361.0,20677,686
106,SS700,12.771,Casapulla,CE,354.0,20575,474
15014,SS145,21.696,Meta,,359.0,20535,263
314,SS18,440.71,Vibo Valentia,VV,359.0,20401,404
50061,SS9,217.029,Fontanellato,PR,357.0,20359,1696
421,SS38,32.856,Castione Andevenno,SO,360.0,20340,809
2454,SS679,1.968,Arezzo,AR,307.0,20171,949
490,SS51,46.733,Longarone,BL,266.0,20050,587
10037,SS494,12.351,Vermezzo con Zelo,MI,281.0,20045,770
1563_NEW,SS434,5.32,San Giovanni Lupatoto,VR,171.5,19765,2875
10028,SS715,8.573,Asciano,SI,360.0,19712,1186
409159,SS439,55.771,Calcinaia,PI,176.0,19704,617
15020,SS18,81.121,Eboli,SA,359.0,19594,599
3139,SS3BIS,6.765,San Gemini,TR,360.0,19494,2371
1895_NEW,A2,306.947,Falerna,CZ,360.0,19460,2789
50056,SS9,143.19,Modena,MO,349.0,19417,792
3039,RA5,48.619,Potenza,PZ,360.0,19409,1062
501043,SS10,18.851,Chieri,TO,360.0,19335,384
16009,SS7,696.023,Latiano,BR,360.0,19303,955
1897_NEW,A2,402.895,Palmi,RC,360.0,19300,2218
417,SS36,59.037,Abbadia Lariana,LC,330.0,19276,1486
50013,SS12,191.462,Modena,MO,346.0,19230,967
50012,SS12,172.19,Modena,MO,359.0,19057,744
411009,SS16,285.146,Falconara Marittima,AN,352.0,19014,515
515118,SS372,68.474,Benevento,BN,363.0,19001,1602
1894_NEW,A2,245.66,Montalto Uffugo,CS,360.0,18814,2975
411001,SS746,5.202,Pesaro,PU,343.0,18743,307
724,SS106,175.094,Stalettì,CZ,283.0,18652,306
18003,A2,338.674,Francavilla Angitola,VV,360.0,18587,2375
19011,A29,39.223,Partinico,PA,319.0,18556,930
50054,SS9,124.137,Anzola dell'Emilia,BO,359.0,18487,1133
3210,SS624,3.476,Monreale,PA,352.0,18411,311
2105,SS16,398.737,Alba Adriatica,TE,361.0,18371,412
3150,SS318,2.383,Perugia,PG,351.0,18334,1192
3065,SS99,14.288,Matera,MT,316.0,18154,884
18024,SS280,14.503,Marcellinara,CZ,360.0,18098,904
50034,SS62,107.811,Collecchio,PR,219.0,17988,670
501025,SS703,5.181,Cameri,NO,363.0,17943,990
480,SS50,2.505,Belluno,BL,360.0,17853,332
1890_NEW,A2,64.475,Sicignano degli Alburni,SA,360.0,17788,2872
1003,SS172DIR,9.518,Fasano,BR,301.0,17681,342
16017,SS100,61.321,Mottola,TA,307.0,17584,1636
3191,SS14,14.485,Venezia,VE,332.0,17572,637
503049,SS38VAR,8.472,Cosio Valtellino,SO,314.0,17410,1019
