Tratta,Strada,Comune,Pr,Leggeri,Pesanti,Postazioni,Latitudine inizio,Latitudine fine,Longitudine inizio,Longitudine fine
480,SS50,Belluno,BL,17853,332,480,46.172145,0.0,12.256667,0.0
1890_NEW,A2,Sicignano degli Alburni,SA,17788,2872,1890A - 1890D,40.5735,40.5954,15.3474,15.322
1003,SS172DIR,Fasano,BR,17681,342,1003,40.83118,0.0,17.350358,0.0
16017,SS100,Mottola,TA,17584,1636,16017A - 16017D,40.638202,40.608805,17.050008,17.06799
3191,SS14,Venezia,VE,17572,637,3191,45.537105,0.0,12.398713,0.0
503049,SS38VAR,Cosio Valtellino,SO,17410,1019,503049D - 503049A,46.1445,46.140318,9.4207,9.512907
1828,RA8,Voghiera,FE,17205,1129,1828,44.785305,0.0,11.740873,0.0
208,SS13,Preganziol,TV,17139,354,208,45.58728,0.0,12.234072,0.0
16020,SS379,Fasano,BR,17117,1637,16020A - 16020D,40.82395,40.823918,17.480063,17.481502
10018,SS3,Foligno,PG,17027,742,10018,42.953837,0.0,12.722685,0.0
16021,SS100,Casamassima,BA,16975,1414,16021D - 16021A,40.909707,40.926958,16.940723,16.932657
10050,A29RACC,Cinisi,PA,16886,323,10050,38.182798,0.0,13.140122,0.0
513137,SS656,Chieti,CH,16875,183,513137,42.382293,0.0,14.156384,0.0
50059,SS9,Reggio nell'Emilia,RE,16843,935,50059,44.741197,0.0,10.508408,0.0
735,SS106,Castellaneta,TA,16787,2000,735,40.490767,0.0,16.925287,0.0
1502,SS394,Casciago,VA,16765,112,1502,45.837697,0.0,8.775308,0.0
19127,SS114,Siracusa,SR,16728,780,19127,37.059995,0.0,15.225825,0.0
16016,SS7,Massafra,TA,16649,918,16016,40.591082,0.0,17.097215,0.0
50072,SS9,Castel San Pietro Terme,BO,16628,654,50072,44.394167,0.0,11.608633,0.0
50014,SS12VAR-A,Medolla,MO,16542,1003,50014,44.834761,0.0,11.052539,0.0
15009,SS7,Arpaia,BN,16472,601,15009,41.036232,0.0,14.535405,0.0
505067,SS516DIR,Campolongo Maggiore,VE,16242,1035,505067,45.323876,0.0,12.023922,0.0
3466,SS640,Caltanissetta,CL,16185,357,3466,37.482193,0.0,14.032115,0.0
920035,SS202,San Dorligo della Valle,TS,16115,2594,920035,45.612027,0.0,13.8449,0.0
16013,SS172,Taranto,TA,16080,321,16013A - 16013D,40.532127,40.534218,17.268253,17.269348
3033_NEW,A2,Rizziconi,RC,16004,2199,3033D - 3033A,38.4454,38.4511,15.9529,15.9667
3192,SS14,Fossalta di Portogruaro,VE,15945,435,3192,45.77867,0.0,12.911327,0.0
2211,SS33,Domodossola,VB,15932,533,2211,46.090062,0.0,8.293312,0.0
2276,SS26,Nus,AO,15876,212,2276,45.739728,0.0,7.434202,0.0
412044,SS156,Prossedi,LT,15831,1607,412044,41.5042,0.0,13.2315,0.0
1292,SS291VAR,Sassari,SS,15634,247,1292,40.728185,0.0,8.456617,0.0
50032,SS45,Gossolengo,PC,15614,400,50032,45.000954,0.0,9.668086,0.0
3399,SS342,Lurate Caccivio,CO,15586,150,3399,45.770563,0.0,8.985768,0.0
16003,SS275,Muro Leccese,LE,15563,280,16003D - 16003A,40.092147,40.099518,18.311677,18.314658
901001_NEW,A2,Martirano,CZ,15552,2472,901001A - 901001D,39.086592,39.0982,16.220667,16.2391
251,SS16,Pineto,TE,15463,339,251,42.648857,0.0,14.033693,0.0
50022,SS16,Cattolica,RN,15380,326,50022,43.951217,0.0,12.739174,0.0
412054,SS1,Montalto di Castro,VT,15329,1257,412054,42.3255,0.0,11.6366,0.0
409005,SS223,Sovicille,SI,15313,713,409005,43.249597,0.0,11.298519,0.0
501026,SS32,Pombia,NO,15244,308,501026,45.657937,0.0,8.618936,0.0
50050,NSA313,San Lazzaro di Savena,BO,15139,340,50050,44.479884,0.0,11.432613,0.0
950040_NEW,SS12,Sant'Ambrogio di Valpolicella,VR,15073,830,950040_NEW,45.517178,0.0,10.821261,0.0
1001,SS99,Altamura,BA,15045,831,1001,40.78534,0.0,16.555503,0.0
50055,SS9,Castelfranco Emilia,MO,14959,932,50055,44.569762,0.0,11.125846,0.0
50021,SS16,Riccione,RN,14902,135,50021,43.98344,0.0,12.679497,0.0
789,SS113,Cefalù,PA,14883,128,789,38.026268,0.0,13.981943,0.0
1151,SS233,Cugliate-Fabiasco,VA,14851,119,1151,45.930688,0.0,8.822505,0.0
15026,A2,Casalbuono,SA,14805,2416,15026,40.201357,0.0,15.686545,0.0
50037,SS63,Vezzano sul Crostolo,RE,14796,221,50037,44.611681,0.0,10.552814,0.0
412042,SS2,Roma,RM,14795,123,412042,42.043183,0.0,12.376169,0.0
50062,SS9,Savignano sul Rubicone,FC,14750,730,50062,44.09,0.0,12.413611,0.0
501030,SS393,Moncalieri,TO,14732,205,501030,44.955168,0.0,7.714113,0.0
412034,SS6,Ferentino,FR,14658,196,412034,41.6881,0.0,13.2486,0.0
209,SS13,Susegana,TV,14633,715,209,45.85897,0.0,12.26184,0.0
19008,SS115QUATER,Agrigento,AG,14595,144,19008A - 19008D,37.301577,37.301302,13.557343,13.557532
517129,SS106,Pisticci,MT,14557,1897,517129A - 517129D,40.298478,40.305287,16.727366,16.731831
50011,SS12,Maranello,MO,14511,756,50011,44.505959,0.0,10.874774,0.0
19014,A29,Alcamo,TP,14459,839,19014A - 19014D,38.000678,38.00041,12.919857,12.920372
1509,SS398,Piombino,LI,14390,837,1509,42.991033,0.0,10.571425,0.0
515134,SS7,San Potito Ultra,AV,14237,465,515134,40.9297,0.0,14.8667,0.0
1334,SS309,Campagna Lupia,VE,14234,2867,1334,45.363595,0.0,12.137612,0.0
117,SS7,Matera,MT,14171,1067,117,40.630602,0.0,16.591777,0.0
15107,A2,Stefanaconi,VV,13991,2419,15107A - 15107D,38.660128,38.660032,16.188252,16.188332
16019,SS172,Locorotondo,BA,13969,273,16019,40.748183,0.0,17.329795,0.0
18013,A2,Bisignano,CS,13963,2234,18013D - 18013A,39.519678,39.542863,16.212817,16.226033
3397,SS340,Laglio,CO,13910,162,3397,45.887578,0.0,9.14111,0.0
862,SS554,Quartu Sant'Elena,CA,13806,237,862,39.261327,,9.23213,0.0
50007,SS724DIR,Modena,MO,13752,941,50007 - 50008,44.608833,44.609293,10.906595,10.907027
411010,SS16,Castelfidardo,AN,13716,597,411010,43.469317,0.0,13.599699,0.0
505071,SS14VAR,Portogruaro,VE,13650,545,505071,45.783648,0.0,12.860071,0.0
900018,SS682,Rosarno,RC,13590,891,900018,38.473,0.0,16.001088,0.0
8,SS1,Montalto di Castro,VT,13506,1107,8,42.397357,0.0,11.51753,0.0
722,SS106,Portigliola,RC,13503,166,722,38.201655,0.0,16.23226,0.0
410004,SS318VAR,Valfabbrica,PG,13371,1002,410004,43.1813,0.0,12.6158,0.0
632,SS85,Macchia d'Isernia,IS,13360,1369,632,41.555828,0.0,14.168287,0.0
19046,SS640,Favara,AG,13312,593,19046D - 19046A,37.360703,37.360757,13.694887,13.694802
1891,A2,Atena Lucana,SA,13104,2524,1891,40.468015,0.0,15.538405,0.0
409158,SS439,Lucca,LU,13089,80,409158,43.85678,0.0,10.43867,0.0
3100,SS275,Surano,LE,13071,207,3100,40.014435,0.0,18.324235,0.0
1896_NEW,A2,Mileto,VV,13022,2321,1896A - 1896D,38.5525,38.4909,16.0696,16.01
1332,SS309,Porto Viro,RO,12898,2667,1332,45.034353,0.0,12.23908,0.0
19012,SS731,Alcamo,TP,12823,170,19012,38.014755,0.0,12.90872,0.0
412056,SS6,Valmontone,RM,12807,265,412056,41.76013,0.0,12.977735,0.0
411011,SS77DIR,Recanati,MC,12801,372,411011,43.3582,0.0,13.4923,0.0
50053,SS9,San Lazzaro di Savena,BO,12763,249,50053,44.457859,0.0,11.440615,0.0
412015,SS4,Poggio Nativo,RI,12691,378,412015,42.1999,0.0,12.803,0.0
16014,SS7,Taranto,TA,12610,783,16014,40.530657,0.0,17.166673,0.0
508038,SS16,Ferrara,FE,12589,995,508038,44.783541,0.0,11.641675,0.0
503051,SS629,Vergiate,VA,12551,811,503051A - 503051D,45.7315,45.7277,8.6806,8.6792
363,SS25,Sant'Ambrogio di Torino,TO,12454,101,363,45.094545,0.0,7.372353,0.0
231,SS16,Stanghella,PD,12425,808,231,45.157603,0.0,11.756597,0.0
16010,SS7,Francavilla Fontana,BR,12294,1072,16010D - 16010A,40.542812,40.545053,17.536927,17.541712
3116,SS113,Santa Flavia,PA,12268,120,3116,38.068903,0.0,13.535333,0.0
50063,SS9,Alseno,PC,12264,1093,50063,44.885713,0.0,9.993421,0.0
19010,SS113,Partinico,PA,12261,175,19010,38.05988,0.0,13.101968,0.0
50038,SS63,Reggio nell'Emilia,RE,12258,215,50038,44.645317,0.0,10.58425,0.0
18006,SS18,Belvedere Marittimo,CS,12202,222,18006,39.645517,0.0,15.839882,0.0
412041,SS6,Villa Santa Lucia,FR,12183,166,412041,41.4908,0.0,13.7734,0.0
412008,SS2,Sutri,VT,12131,253,412008,42.231086,0.0,12.253549,0.0
508057,SS64VAR,Sasso Marconi,BO,12126,510,508057,44.439651,0.0,11.27847,0.0
901002_NEW,A2,Rivello,PZ,12073,2201,901002A - 901002D,40.1006,40.1006,15.8016,15.8016
412032,SS6,San Cesareo,RM,12070,222,412032,41.8455,0.0,12.7491,0.0
503066,SS36RACC,Lecco,LC,12063,233,503066,45.87448,0.0,9.432683,0.0
1893_NEW,A2,Altomonte,CS,12045,1866,1893D - 1893A,39.693075,39.6895,16.234967,16.2295
409160,SS439,Ponsacco,PI,11964,99,409160,43.59946,0.0,10.66066,0.0
50042,SS64,Sasso Marconi,BO,11945,127,50042,44.409688,0.0,11.255714,0.0
481,SS50,Sedico,BL,11939,272,481,46.111127,0.0,12.124722,0.0
19106,SS106VAR-A,Catanzaro,CZ,11777,468,19106A - 19106D,38.862012,38.862075,16.62167,16.621563
320002,S131DIR-CENT,Posada,NU,11720,409,320002A - 320002D,40.668467,40.661438,9.71274,9.717527
19031,SS115,Sciacca,AG,11682,503,19031,37.529693,0.0,13.066413,0.0
503,SS53,Carmignano di Brenta,PD,11652,2556,503,45.618213,0.0,11.70598,0.0
3219,SS189,Aragona,AG,11612,407,3219,37.382693,0.0,13.63158,0.0
18004,A2,Morano Calabro,CS,11528,2088,18004D - 18004A,39.867572,39.863762,16.100613,16.090443
19081,SS113,Campofelice di Roccella,PA,11501,152,19081,37.982332,0.0,13.84833,0.0
240,SS16,Pesaro,PU,11303,94,240,43.885888,0.0,12.954982,0.0
505070,SS14VAR-B,San Donà di Piave,VE,11240,381,505070,45.602106,0.0,12.59476,0.0
409156,SS439,Massarosa,LU,11229,139,409156,43.90162,0.0,10.28061,0.0
307010,SS1,Ventimiglia,IM,11176,20,307010,43.793532,0.0,7.582968,0.0
514100,SS710,Campobasso,CB,11105,514,514100,41.5709,0.0,14.6835,0.0
2146,SS87,Termoli,CB,11095,630,2146,41.932053,0.0,14.985368,0.0
2141,SS87,Vinchiaturo,CB,11086,531,2141,41.51843,0.0,14.61168,0.0
3004,SS107,Cosenza,CS,11077,171,3004,39.29561,0.0,16.277095,0.0
740,SS106RADD,Cassano all'Ionio,CS,11048,1010,740,39.734312,0.0,16.476675,0.0
780,SS113,Villafranca Tirrena,ME,11028,222,780,38.244035,0.0,15.448577,0.0
3209,SS113,Naso,ME,10990,110,3209,38.151868,0.0,14.808278,0.0
154,SS9,San Martino in Strada,LO,10985,420,154,45.271177,0.0,9.549577,0.0
10040,NSA215,Ospitale di Cadore,BL,10966,403,10040,46.317592,0.0,12.316377,0.0
3385,SS18,Cetraro,CS,10950,218,3385,39.514475,0.0,15.939303,0.0
241,SS16,Fano,PU,10910,154,241,43.78812,0.0,13.10816,0.0
307009,SS1,Cipressa,IM,10779,133,307009,43.843142,0.0,7.915863,0.0
796,SS113,Partinico,PA,10751,179,796,38.032787,0.0,13.09693,0.0
489,SS51,Ponte nelle Alpi,BL,10734,356,489,46.153235,0.0,12.319612,0.0
239,SS16,Pesaro,PU,10732,130,239,43.94657,0.0,12.81678,0.0
409016,SS1,Piombino,LI,10728,1106,409016,42.979071,0.0,10.649923,0.0
1391,SS340,Porlezza,CO,10642,46,1391,46.024357,0.0,9.0827,0.0
3445,SS89,Manfredonia,FG,10638,472,3445,41.581805,0.0,15.775628,0.0
10062,A19,Alimena,PA,10623,1403,10062,37.645555,0.0,14.112142,0.0
409017,SS680,Monte San Savino,AR,10588,263,409017,43.350642,0.0,11.758035,0.0
782,SS113,Barcellona Pozzo di Gotto,ME,10550,98,782,38.143785,0.0,15.194435,0.0
90003,SS1VAR-A,Riccò del Golfo di Spezia,SP,10531,161,90003,44.130692,0.0,9.782332,0.0
308,SS18,Belvedere Marittimo,CS,10515,194,308,39.604952,0.0,15.86164,0.0
3022,SS1DIR,Ventimiglia,IM,10483,213,3022,43.783998,0.0,7.545502,0.0
307008,SS1,Diano Marina,IM,10475,81,307008,43.89361,0.0,8.073513,0.0
320007,SS125VAR,Quartu Sant'Elena,CA,10439,147,320007,39.185357,0.0,9.361252,0.0
10063,A29,Calatafimi-Segesta,TP,10425,530,10063,37.871782,0.0,12.94917,0.0
3121,SS417,Catania,CT,10389,506,3121,37.45872,0.0,14.99981,0.0
2108,SS80,Mosciano Sant'Angelo,TE,10373,196,2108,42.708132,0.0,13.894525,0.0
320003,S131DIR-CENT,Orani,NU,10368,464,320003A - 320003D,40.311443,40.320972,9.211435,9.266517
18025,SS106,Soverato,CZ,10365,240,18025,38.700798,0.0,16.534445,0.0
19135,SS115,Ragusa,RG,10338,646,19135,36.929062,0.0,14.658937,0.0
1394,SS341,Turbigo,MI,10288,274,1394,45.523715,0.0,8.72775,0.0
